epoch,loss,val_loss
0,0.005217524245381355,0.044213924556970596
1,0.0016805914929136634,0.0075931064784526825
2,0.0006422175210900605,0.006123059429228306
3,0.0003662827075459063,0.000415532587794587
4,0.0002333485899725929,0.0025699168909341097
5,0.00020456785568967462,2.778756243060343e-05
6,0.00017878587823361158,0.0005518216057680547
7,0.0001644892035983503,7.554769399575889e-05
8,0.00016111356671899557,2.5262084818677977e-05
9,0.0001482554798712954,6.480689626187086e-05
10,0.00014578612172044814,0.00018715464102569968
11,0.0001271457294933498,0.00022894717403687537
12,0.0001274172536795959,2.7623927962849848e-05
13,0.00011378917406545952,6.003817907185294e-05
14,0.00010965858382405713,2.5091318093473092e-05
15,0.00010617909720167518,1.8937080312753096e-05
16,0.00010873545397771522,3.7782818253617734e-05
17,0.00010389833914814517,5.7946701417677104e-05
18,9.868769848253578e-05,1.7096430383389816e-05
19,9.444431634619832e-05,2.393985414528288e-05
20,9.609386324882507e-05,2.757679067144636e-05
21,8.817892376100644e-05,0.00013861000479664654
22,8.918064850149676e-05,0.00013321333972271532
23,9.12790565053001e-05,3.267642387072556e-05
24,8.401856757700443e-05,1.3836460311722476e-05
25,7.662439020350575e-05,3.5102184483548626e-05
26,7.548455323558301e-05,4.790035745827481e-05
27,7.353507680818439e-05,2.0835526811424643e-05
28,7.189150346675888e-05,1.7522699636174366e-05
29,7.37879381631501e-05,4.289953358238563e-05
30,6.779503746656701e-05,3.253059185226448e-05
31,6.825040327385068e-05,1.654519473959226e-05
32,6.457958807004616e-05,1.6679396139807068e-05
33,6.38205383438617e-05,2.5514060325804166e-05
34,6.190126441651955e-05,4.21973381889984e-05
35,6.138810567790642e-05,4.1099818190559745e-05
36,6.551706610480323e-05,2.6616664399625733e-05
37,5.948927719146013e-05,5.638200309476815e-05
38,5.885800419491716e-05,0.00012925732880830765
39,5.662943658535369e-05,0.00011837059719255194
40,5.903216151637025e-05,0.0001080913280020468
41,5.832402894156985e-05,2.7137970391777344e-05
42,5.536468597711064e-05,2.2797508790972643e-05
43,5.4586504120379686e-05,2.025411777140107e-05
44,5.118792978464626e-05,1.4902284419804346e-05
45,5.107284596306272e-05,2.0239822333678603e-05
46,5.004088961868547e-05,1.730686199152842e-05
47,4.899978739558719e-05,1.4138527149043512e-05
48,4.78171969007235e-05,1.995259299292229e-05
49,4.7855945012997836e-05,2.4904853489715606e-05
50,4.529635771177709e-05,1.4684570487588644e-05
51,4.7929410357028246e-05,1.6671365301590413e-05
52,4.3456278945086524e-05,3.742590706679039e-05
53,4.4222666474524885e-05,4.1154144128086045e-05
54,4.336542770033702e-05,2.801429400278721e-05
55,4.5540429709944874e-05,3.7628080463036895e-05
56,4.077371704624966e-05,2.7333249818184413e-05
57,4.052124131703749e-05,1.670005622145254e-05
58,4.220384653308429e-05,1.2584050637087785e-05
59,3.98323500121478e-05,2.7036667233915068e-05
60,3.907206337316893e-05,1.2854990927735344e-05
61,3.852182999253273e-05,7.370664388872683e-05
62,3.839453711407259e-05,6.503262557089329e-05
63,3.8590849726460874e-05,2.3028356736176647e-05
64,4.171433829469606e-05,1.4553368600900285e-05
65,3.7492533010663465e-05,1.7785272575565614e-05
66,3.646301047410816e-05,2.9124985303496942e-05
67,3.6634752177633345e-05,1.4245035345084034e-05
68,3.829339402727783e-05,1.264855200133752e-05
69,3.5978042433271185e-05,3.0591076210839674e-05
70,3.640690556494519e-05,2.909061913669575e-05
71,4.0401639125775546e-05,6.963629857636988e-05
72,3.527102671796456e-05,1.5248191630234942e-05
73,3.379406189196743e-05,1.8405873561277986e-05
74,3.3252203138545156e-05,1.3188947377784643e-05
75,3.3101034205174074e-05,3.670857040560804e-05
76,3.368514808244072e-05,2.9038877983111888e-05
77,3.729985837708227e-05,1.9811570382444188e-05
78,3.5733515687752515e-05,4.339194128988311e-05
79,3.8559512177016586e-05,3.624078817665577e-05
80,3.333550557726994e-05,2.0575169401126914e-05
81,3.127200761809945e-05,2.2145590264699422e-05
82,3.1119743653107435e-05,1.341860661341343e-05
83,2.9211081709945574e-05,1.2875363609055057e-05
84,2.904861503338907e-05,1.2858496120315976e-05
85,3.21326770063024e-05,2.151321132259909e-05
86,3.106212170678191e-05,5.533972580451518e-05
87,3.2048399589257315e-05,1.25055194075685e-05
88,2.968477019749116e-05,2.504780059098266e-05
89,2.8502579880296253e-05,3.902147363987751e-05
90,3.2956904760794714e-05,1.4859864677418955e-05
91,2.6737305233837105e-05,1.3864061656931881e-05
92,2.7931904696743004e-05,1.29991703943233e-05
93,2.6353251087130047e-05,1.2835396773880348e-05
94,2.5449258828302845e-05,3.6737877962877974e-05
95,2.7437881726655178e-05,5.958993642707355e-05
96,3.0939463613322005e-05,3.813601506408304e-05
97,2.7292897357256152e-05,3.126513183815405e-05
98,2.643092921061907e-05,1.3516912986233365e-05
99,2.6311994588468224e-05,1.2113247976230923e-05
